imie;plec;liczba
ZOFIA;K;2117
MAJA;K;1946
ZUZANNA;K;1864
LAURA;K;1791
HANNA;K;1610
JULIA;K;1590
OLIWIA;K;1463
POLA;K;1334
ALICJA;K;1307
AMELIA;K;1224
ANTONINA;K;1207
EMILIA;K;1186
MARIA;K;1165
MICHALINA;K;1147
LILIANA;K;1116
KLARA;K;1106
HELENA;K;1102
MARCELINA;K;1102
WIKTORIA;K;968
LENA;K;911
ŁUCJA;K;904
IGA;K;889
GABRIELA;K;834
ROZALIA;K;787
NELA;K;770
KORNELIA;K;769
LILIANNA;K;692
ALEKSANDRA;K;630
BLANKA;K;600
ANNA;K;578
RÓŻA;K;570
AURELIA;K;565
KAJA;K;548
ANIELA;K;536
JAGODA;K;521
NADIA;K;514
MIA;K;455
ANASTAZJA;K;453
NATALIA;K;447
JAŚMINA;K;441
SARA;K;389
MILENA;K;387
WERONIKA;K;362
MATYLDA;K;360
BARBARA;K;358
NINA;K;352
LIWIA;K;324
NIKOLA;K;320
WANDA;K;306
ELIZA;K;305
ADRIANNA;K;255
ZOJA;K;255
MARTYNA;K;244
AGATA;K;241
MARIANNA;K;238
MELANIA;K;238
APOLONIA;K;228
GAJA;K;226
NEL;K;222
KAROLINA;K;219
LIDIA;K;202
SOFIA;K;202
DIANA;K;195
MAGDALENA;K;193
STEFANIA;K;185
EWA;K;172
FELICJA;K;166
IZABELA;K;166
KINGA;K;166
BIANKA;K;160
DOMINIKA;K;146
MALWINA;K;144
URSZULA;K;140
JAGNA;K;137
JOANNA;K;136
LUIZA;K;131
KALINA;K;127
IDA;K;126
MAŁGORZATA;K;122
JADWIGA;K;114
MILANA;K;114
EMMA;K;113
DARIA;K;112
MARTA;K;112
ADELINA;K;110
RITA;K;110
KATARZYNA;K;106
ADA;K;105
LILIA;K;101
PAULINA;K;101
KAMILA;K;100
ELENA;K;93
SOFIIA;K;87
LARA;K;86
ADELA;K;85
NOEMI;K;82
CELINA;K;81
EMILIIA;K;79
LILA;K;77
LEA;K;75
OLIVIA;K;75
AURORA;K;74
DOROTA;K;74
GLORIA;K;73
KLAUDIA;K;67
JANINA;K;64
FLORENTYNA;K;62
PATRYCJA;K;59
ALISA;K;58
EVA;K;58
ALINA;K;57
FRANCISZKA;K;55
ZLATA;K;54
SOLOMIIA;K;53
ESTERA;K;48
OLGA;K;48
MONIKA;K;47
AGNIESZKA;K;40
ELŻBIETA;K;40
MILA;K;40
TOLA;K;40
MIIA;K;39
YEVA;K;39
